xflr5 v6.61

0-1-3-4-5-6
T1-8.5 m/s-LLT-1.0kg-x0.0m
QInf  =    8.500000 m/s
Alpha =   14.400000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.551311
Cy    =    0.000000
Cd    =    0.087332     ICd   =    0.066191     PCd   =    0.021140
Cl   = -2.71051e-18
Cm   =   0.0317173
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.365189     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =    0.000000

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -9.3740     1.4000   -16.140    0.354303    0.008951    0.099806   -0.051686   -0.094458     0.5105    0.2269    0.5194    0.0000
   -9.2872     1.4000   -12.947    0.664690    0.009634    0.150204   -0.014465   -0.083835     0.3577    0.4892    0.3702    0.1103
   -9.1432     1.4000   -11.135    0.924098    0.009915    0.179589   -0.008715   -0.096401     0.3131    1.0000    0.3458    0.9778
   -8.9428     1.4000    -8.745    1.119877    0.011621    0.170932    0.011696   -0.082435     0.2825    1.0000    0.3114    4.1610
   -8.6872     1.4000    -6.868    1.264440    0.013332    0.151568    0.024452   -0.071119     0.2649    1.0000    0.2911   12.2620
   -8.3781     1.4000    -5.447    1.370910    0.015245    0.130331    0.031143   -0.063719     0.2518    1.0000    0.2789   28.8972
   -8.0174     1.4000    -4.443    1.449871    0.016617    0.112421    0.033697   -0.059804     0.2463    1.0000    0.2718   58.5749
   -7.6072     1.4000    -3.649    1.506849    0.018065    0.095960    0.035067   -0.056508     0.2405    1.0000    0.2666   106.5218
   -7.1501     1.4000    -3.014    1.547514    0.019573    0.081412    0.035830   -0.053623     0.2345    1.0000    0.2625   178.4552
   -6.6489     1.4000    -2.574    1.578341    0.020509    0.070910    0.035442   -0.052125     0.2312    1.0000    0.2600   280.3484
   -6.1068     1.4000    -2.241    1.601503    0.021249    0.062631    0.034668   -0.051077     0.2287    1.0000    0.2581   418.2323
   -5.5269     1.4000    -1.984    1.618483    0.021882    0.056043    0.033708   -0.050233     0.2263    1.0000    0.2567   597.9649
   -4.9131     1.4000    -1.770    1.630218    0.022574    0.050368    0.032744   -0.049360     0.2239    1.0000    0.2555   825.0002
   -4.2689     1.4000    -1.600    1.638343    0.023211    0.045742    0.033341   -0.048576     0.2217    1.0000    0.2545   1104.1642
   -3.5984     1.4000    -1.473    1.644373    0.023685    0.042278    0.034225   -0.047994     0.2201    1.0000    0.2538   1439.4707
   -2.9057     1.4000    -1.381    1.649076    0.024012    0.039747    0.034846   -0.047608     0.2190    1.0000    0.2533   1833.9704
   -2.1951     1.4000    -1.321    1.652893    0.024182    0.038122    0.035195   -0.047450     0.2185    1.0000    0.2530   2289.6122
   -1.4710     1.4000    -1.280    1.655564    0.024300    0.036981    0.035439   -0.047339     0.2182    1.0000    0.2528   2807.1275
   -0.7378     1.4000    -1.256    1.657120    0.024370    0.036314    0.035581   -0.047275     0.2180    1.0000    0.2527   3385.9229
   -0.0000     1.4000    -1.248    1.657633    0.024392    0.036094    0.035628   -0.047253     0.2180    1.0000    0.2526   4024.0152
    0.7378     1.4000    -1.256    1.657120    0.024370    0.036314    0.035581   -0.047275     0.2180    1.0000    0.2527   3385.9229
    1.4710     1.4000    -1.280    1.655564    0.024300    0.036981    0.035439   -0.047339     0.2182    1.0000    0.2528   2807.1275
    2.1951     1.4000    -1.321    1.652893    0.024182    0.038122    0.035195   -0.047450     0.2185    1.0000    0.2530   2289.6122
    2.9057     1.4000    -1.381    1.649076    0.024012    0.039747    0.034846   -0.047608     0.2190    1.0000    0.2533   1833.9704
    3.5984     1.4000    -1.473    1.644373    0.023685    0.042278    0.034225   -0.047994     0.2201    1.0000    0.2538   1439.4707
    4.2689     1.4000    -1.600    1.638343    0.023211    0.045742    0.033341   -0.048576     0.2217    1.0000    0.2545   1104.1642
    4.9131     1.4000    -1.770    1.630218    0.022574    0.050368    0.032744   -0.049360     0.2239    1.0000    0.2555   825.0002
    5.5269     1.4000    -1.984    1.618483    0.021882    0.056043    0.033708   -0.050233     0.2263    1.0000    0.2567   597.9649
    6.1068     1.4000    -2.241    1.601503    0.021249    0.062631    0.034668   -0.051077     0.2287    1.0000    0.2581   418.2323
    6.6489     1.4000    -2.574    1.578341    0.020509    0.070910    0.035442   -0.052125     0.2312    1.0000    0.2600   280.3484
    7.1501     1.4000    -3.014    1.547514    0.019573    0.081412    0.035830   -0.053623     0.2345    1.0000    0.2625   178.4552
    7.6072     1.4000    -3.649    1.506849    0.018065    0.095960    0.035067   -0.056508     0.2405    1.0000    0.2666   106.5218
    8.0174     1.4000    -4.443    1.449871    0.016617    0.112421    0.033697   -0.059804     0.2463    1.0000    0.2718   58.5749
    8.3781     1.4000    -5.447    1.370910    0.015245    0.130331    0.031143   -0.063719     0.2518    1.0000    0.2789   28.8972
    8.6872     1.4000    -6.868    1.264440    0.013332    0.151568    0.024452   -0.071119     0.2649    1.0000    0.2911   12.2620
    8.9428     1.4000    -8.745    1.119877    0.011621    0.170932    0.011696   -0.082435     0.2825    1.0000    0.3114    4.1610
    9.1432     1.4000   -11.135    0.924098    0.009915    0.179589   -0.008715   -0.096401     0.3131    1.0000    0.3458    0.9778
    9.2872     1.4000   -12.947    0.664690    0.009634    0.150204   -0.014465   -0.083835     0.3577    0.4892    0.3702    0.1103
    9.3740     1.4000   -16.140    0.354303    0.008951    0.099806   -0.051686   -0.094458     0.5105    0.2269    0.5194    0.0000




