xflr5 v6.61

0-1-3-4-5-6
T1-8.5 m/s-LLT-1.0kg-x0.0m
QInf  =    8.500000 m/s
Alpha =    4.500000
Beta  =    0.000Åã
Phi   =    0.000Åã
Ctrl  =    0.000
CL    =    0.880399
Cy    =    0.000000
Cd    =    0.030190     ICd   =    0.020237     PCd   =    0.009953
Cl   = -8.20896e-18
Cm   =  -0.0470461
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.486726     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =    0.000000

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -9.3740     1.4000    -7.968    0.179870    0.009754    0.025015   -0.082161   -0.099165     0.5810    0.0640    0.8167    0.0000
   -9.2872     1.4000    -6.405    0.337340    0.008951    0.037712   -0.067454   -0.094871     0.5181    0.2176    0.5341    0.0560
   -9.1432     1.4000    -5.118    0.467020    0.009103    0.041719   -0.056779   -0.091254     0.4530    0.2874    0.4440    0.4963
   -8.9428     1.4000    -4.046    0.570156    0.009334    0.040258   -0.048648   -0.087517     0.3967    0.3858    0.3993    2.1076
   -8.6872     1.4000    -3.192    0.651085    0.009585    0.036275   -0.042834   -0.084385     0.3628    0.4748    0.3740    6.2202
   -8.3781     1.4000    -2.489    0.715735    0.009741    0.031093   -0.038332   -0.081501     0.3409    0.5688    0.3570   14.7148
   -8.0174     1.4000    -2.197    0.773502    0.009713    0.029657   -0.041864   -0.086948     0.3336    0.7130    0.3553   29.9870
   -7.6072     1.4000    -1.947    0.821925    0.009699    0.027924   -0.044936   -0.091388     0.3275    0.8305    0.3538   54.9289
   -7.1501     1.4000    -1.728    0.860827    0.009719    0.025967   -0.047233   -0.094542     0.3225    0.9133    0.3521   92.8160
   -6.6489     1.4000    -1.557    0.891292    0.009734    0.024227   -0.049233   -0.097011     0.3186    0.9782    0.3508   147.1634
   -6.1068     1.4000    -1.368    0.912789    0.009827    0.021789   -0.049345   -0.097122     0.3152    1.0000    0.3480   221.5739
   -5.5269     1.4000    -1.195    0.927515    0.009941    0.019340   -0.048674   -0.096184     0.3125    1.0000    0.3451   319.5462
   -4.9131     1.4000    -1.067    0.938357    0.010026    0.017481   -0.048351   -0.095493     0.3104    1.0000    0.3429   444.3311
   -4.2689     1.4000    -0.971    0.946524    0.010092    0.016041   -0.047638   -0.094965     0.3089    1.0000    0.3413   598.8304
   -3.5984     1.4000    -0.898    0.952663    0.010145    0.014927   -0.046922   -0.094555     0.3079    1.0000    0.3402   785.4879
   -2.9057     1.4000    -0.843    0.957246    0.010184    0.014086   -0.046387   -0.094249     0.3071    1.0000    0.3393   1006.1874
   -2.1951     1.4000    -0.804    0.960561    0.010213    0.013471   -0.045999   -0.094027     0.3065    1.0000    0.3387   1262.1637
   -1.4710     1.4000    -0.777    0.962809    0.010232    0.013052   -0.045737   -0.093877     0.3061    1.0000    0.3383   1553.9292
   -0.7378     1.4000    -0.761    0.964110    0.010244    0.012808   -0.045585   -0.093790     0.3059    1.0000    0.3380   1881.2175
   -0.0000     1.4000    -0.756    0.964538    0.010247    0.012728   -0.045535   -0.093762     0.3058    1.0000    0.3380   2242.9460
    0.7378     1.4000    -0.761    0.964110    0.010244    0.012808   -0.045585   -0.093790     0.3059    1.0000    0.3380   1881.2175
    1.4710     1.4000    -0.777    0.962809    0.010232    0.013052   -0.045737   -0.093877     0.3061    1.0000    0.3383   1553.9292
    2.1951     1.4000    -0.804    0.960561    0.010213    0.013471   -0.045999   -0.094027     0.3065    1.0000    0.3387   1262.1637
    2.9057     1.4000    -0.843    0.957246    0.010184    0.014086   -0.046387   -0.094249     0.3071    1.0000    0.3393   1006.1874
    3.5984     1.4000    -0.898    0.952663    0.010145    0.014927   -0.046922   -0.094555     0.3079    1.0000    0.3402   785.4879
    4.2689     1.4000    -0.971    0.946524    0.010092    0.016041   -0.047638   -0.094965     0.3089    1.0000    0.3413   598.8304
    4.9131     1.4000    -1.067    0.938357    0.010026    0.017481   -0.048351   -0.095493     0.3104    1.0000    0.3429   444.3311
    5.5269     1.4000    -1.195    0.927515    0.009941    0.019340   -0.048674   -0.096184     0.3125    1.0000    0.3451   319.5462
    6.1068     1.4000    -1.368    0.912789    0.009827    0.021789   -0.049345   -0.097122     0.3152    1.0000    0.3480   221.5739
    6.6489     1.4000    -1.557    0.891292    0.009734    0.024227   -0.049233   -0.097011     0.3186    0.9782    0.3508   147.1634
    7.1501     1.4000    -1.728    0.860827    0.009719    0.025967   -0.047233   -0.094542     0.3225    0.9133    0.3521   92.8160
    7.6072     1.4000    -1.947    0.821925    0.009699    0.027924   -0.044936   -0.091388     0.3275    0.8305    0.3538   54.9289
    8.0174     1.4000    -2.197    0.773502    0.009713    0.029657   -0.041864   -0.086948     0.3336    0.7130    0.3553   29.9870
    8.3781     1.4000    -2.489    0.715735    0.009741    0.031093   -0.038332   -0.081501     0.3409    0.5688    0.3570   14.7148
    8.6872     1.4000    -3.192    0.651085    0.009585    0.036275   -0.042834   -0.084385     0.3628    0.4748    0.3740    6.2202
    8.9428     1.4000    -4.046    0.570156    0.009334    0.040258   -0.048648   -0.087517     0.3967    0.3858    0.3993    2.1076
    9.1432     1.4000    -5.118    0.467020    0.009103    0.041719   -0.056779   -0.091254     0.4530    0.2874    0.4440    0.4963
    9.2872     1.4000    -6.405    0.337340    0.008951    0.037712   -0.067454   -0.094871     0.5181    0.2176    0.5341    0.0560
    9.3740     1.4000    -7.968    0.179870    0.009754    0.025015   -0.082161   -0.099165     0.5810    0.0640    0.8167    0.0000




