xflr5 v6.61

Plane Name
T1-8.5 m/s-LLT
QInf  =    8.500000 m/s
Alpha =    4.500000
Beta  =    0.000Åã
Phi   =    0.000Åã
Ctrl  =    0.000
CL    =    0.859807
Cy    =    0.000000
Cd    =    0.029023     ICd   =    0.019106     PCd   =    0.009917
Cl   = -3.84117e-17
Cm   =   -0.293698
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.483209     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending = 2151.442871

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -9.2843     1.4000    -6.549    0.334515    0.009088    0.038235   -0.143495   -0.097583     0.4938    0.1258    0.5449    0.0000
   -8.9399     1.4000    -4.195    0.563252    0.009235    0.041242   -0.193061   -0.089860     0.3708    0.2974    0.4066    1.6416
   -8.3755     1.4000    -2.604    0.695784    0.009843    0.031628   -0.227125   -0.080552     0.2930    0.4766    0.3603   13.2834
   -7.6048     1.4000    -1.619    0.773315    0.009900    0.021848   -0.249847   -0.073786     0.2923    0.5953    0.3386   51.3574
   -6.6468     1.4000    -1.250    0.836635    0.009669    0.018248   -0.276142   -0.078385     0.2920    0.9009    0.3361   138.3512
   -5.5252     1.4000    -1.135    0.892269    0.009863    0.017671   -0.303477   -0.087322     0.2918    0.9907    0.3404   300.6585
   -4.2675     1.4000    -0.982    0.928129    0.010034    0.015902   -0.319819   -0.091297     0.2916    0.9961    0.3407   565.3619
   -2.9048     1.4000    -0.881    0.950024    0.010137    0.014602   -0.329418   -0.093549     0.2915    0.9979    0.3407   954.8504
   -1.4705     1.4000    -0.824    0.961937    0.010192    0.013830   -0.334483   -0.094731     0.2915    0.9986    0.3406   1482.8422
   -0.0000     1.4000    -0.806    0.965706    0.010209    0.013581   -0.336531   -0.095104     0.2915    0.9989    0.3406   2151.4429
    1.4705     1.4000    -0.824    0.961937    0.010192    0.013830   -0.334483   -0.094731     0.2915    0.9986    0.3406   1482.8422
    2.9048     1.4000    -0.881    0.950024    0.010137    0.014602   -0.329418   -0.093549     0.2915    0.9979    0.3407   954.8504
    4.2675     1.4000    -0.982    0.928129    0.010034    0.015902   -0.319819   -0.091297     0.2916    0.9961    0.3407   565.3619
    5.5252     1.4000    -1.135    0.892269    0.009863    0.017671   -0.303477   -0.087322     0.2918    0.9907    0.3404   300.6585
    6.6468     1.4000    -1.250    0.836635    0.009669    0.018248   -0.276142   -0.078385     0.2920    0.9009    0.3361   138.3512
    7.6048     1.4000    -1.619    0.773315    0.009900    0.021848   -0.249847   -0.073786     0.2923    0.5953    0.3386   51.3574
    8.3755     1.4000    -2.604    0.695784    0.009843    0.031628   -0.227125   -0.080552     0.2930    0.4766    0.3603   13.2834
    8.9399     1.4000    -4.195    0.563252    0.009235    0.041242   -0.193061   -0.089860     0.3708    0.2974    0.4066    1.6416
    9.2843     1.4000    -6.549    0.334515    0.009088    0.038235   -0.143495   -0.097583     0.4938    0.1258    0.5449    0.0000




