# Lift Force Distribution (Piecewise Linear)
# Velocity [m/s]: 8.5
# Air density [kg/m^3]: 1.225
# Formula: L' [N/m] = 0.5 * rho * V^2 * c * Cl
# Interpolation: Use linear interpolation between data points
y_span [m],chord [m],Cl [-],lift_per_span [N/m]
-9.374,1.4,0.296954,18.39759947375
-9.2872,1.4,0.557136,34.51701267
-9.1432,1.4,0.773954,47.949836348750004
-8.9428,1.4,0.949756,58.8415393825
-8.6872,1.4,1.078587,66.823183468125
-8.3781,1.4,1.172212,72.6236618275
-8.0174,1.4,1.24105,76.88847709375
-7.6072,1.4,1.293305,80.125902959375
-7.1501,1.4,1.331853,82.51412020687499
-6.6489,1.4,1.359838,84.24791339125001
-6.1068,1.4,1.381149,85.568223076875
-5.5269,1.4,1.39822,86.6258462125
-4.9131,1.4,1.411558,87.45219366625001
-4.2689,1.4,1.421792,88.08623474
-3.5984,1.4,1.429614,88.57084186124999
-2.9057,1.4,1.435503,88.935691175625
-2.1951,1.4,1.439798,89.20178521624999
-1.471,1.4,1.442718,89.38269199125
-0.7378,1.4,1.444418,89.48801442874999
-0.0,1.4,1.444973,89.522399106875
0.7378,1.4,1.444418,89.48801442874999
1.471,1.4,1.442718,89.38269199125
2.1951,1.4,1.439798,89.20178521624999
2.9057,1.4,1.435503,88.935691175625
3.5984,1.4,1.429614,88.57084186124999
4.2689,1.4,1.421792,88.08623474
4.9131,1.4,1.411558,87.45219366625001
5.5269,1.4,1.39822,86.6258462125
6.1068,1.4,1.381149,85.568223076875
6.6489,1.4,1.359838,84.24791339125001
7.1501,1.4,1.331853,82.51412020687499
7.6072,1.4,1.293305,80.125902959375
8.0174,1.4,1.24105,76.88847709375
8.3781,1.4,1.172212,72.6236618275
8.6872,1.4,1.078587,66.823183468125
8.9428,1.4,0.949756,58.8415393825
9.1432,1.4,0.773954,47.949836348750004
9.2872,1.4,0.557136,34.51701267
9.374,1.4,0.296954,18.39759947375
