# Lift Force Distribution (Piecewise Linear)
# Velocity [m/s]: 8.5
# Air density [kg/m^3]: 1.225
# Formula: L' [N/m] = 0.5 * rho * V^2 * c * Cl
# Interpolation: Use linear interpolation between data points
y_span [m],chord [m],Cl [-],lift_per_span [N/m]
-9.374,1.4,0.17987,11.14373343125
-9.2872,1.4,0.33734,20.8996888625
-9.1432,1.4,0.46702,28.9339322125
-8.9428,1.4,0.570156,35.3236586325
-8.6872,1.4,0.651085,40.337564246875
-8.3781,1.4,0.715735,44.342914590625
-8.0174,1.4,0.773502,47.92183297125
-7.6072,1.4,0.821925,50.921849671875
-7.1501,1.4,0.860827,53.331998768125
-6.6489,1.4,0.891292,55.219438802499994
-6.1068,1.4,0.912789,56.551272001875
-5.5269,1.4,0.927515,57.463612128125
-4.9131,1.4,0.938357,58.135321461875
-4.2689,1.4,0.946524,58.641302842500004
-3.5984,1.4,0.952663,59.021640750625004
-2.9057,1.4,0.957246,59.305577651250005
-2.1951,1.4,0.960561,59.510956404375
-1.471,1.4,0.962809,59.650229839375
-0.7378,1.4,0.96411,59.73083248125
-0.0,1.4,0.964538,59.75734895375
0.7378,1.4,0.96411,59.73083248125
1.471,1.4,0.962809,59.650229839375
2.1951,1.4,0.960561,59.510956404375
2.9057,1.4,0.957246,59.305577651250005
3.5984,1.4,0.952663,59.021640750625004
4.2689,1.4,0.946524,58.641302842500004
4.9131,1.4,0.938357,58.135321461875
5.5269,1.4,0.927515,57.463612128125
6.1068,1.4,0.912789,56.551272001875
6.6489,1.4,0.891292,55.219438802499994
7.1501,1.4,0.860827,53.331998768125
7.6072,1.4,0.821925,50.921849671875
8.0174,1.4,0.773502,47.92183297125
8.3781,1.4,0.715735,44.342914590625
8.6872,1.4,0.651085,40.337564246875
8.9428,1.4,0.570156,35.3236586325
9.1432,1.4,0.46702,28.9339322125
9.2872,1.4,0.33734,20.8996888625
9.374,1.4,0.17987,11.14373343125
