# Lift Force per Rib
# Lift data span [m]: -9.3740 to 9.3740
# Actual wing span [m]: -9.4000 to 9.4000
# Force = integral of lift distribution over rib's domain
# Domain: midpoint to prev rib -> midpoint to next rib
# Endpoints use wing tip instead of midpoint
# Extrapolation: linear taper to 0 beyond lift data range
rib_position [m],force [N]
-9.4,1.363585
-9.25,6.785638
-9.05,10.602076
-8.85,12.347249
-8.65,13.479656
-8.45,14.252135
-8.25,14.827656
-8.05,15.291667
-7.85,15.641930
-7.65,15.953258
-7.45,16.189446
-7.25,16.398434
-7.05,16.572079
-6.85,16.710450
-6.65,16.843813
-6.45,16.946469
-6.25,17.043891
-6.05,17.133791
-5.85,17.207315
-5.65,17.280267
-5.45,17.345747
-5.25,17.399726
-5.05,17.453578
-4.85,15.312602
-4.7,15.342991
-4.5,17.571756
-4.3,17.610504
-4.1,17.641662
-3.9,17.670572
-3.7,17.699482
-3.5,17.724533
-3.3,17.745602
-3.1,17.766670
-2.9,17.786888
-2.7,17.802544
-2.5,17.817522
-2.3,17.832501
-2.1,17.845107
-1.9,17.855102
-1.7,17.865096
-1.5,17.874821
-1.3,17.881451
-1.1,17.887197
-0.9,17.892943
-0.7,17.897767
-0.5,31.325907
0.0,44.758286
0.5,31.325907
0.7,17.897767
0.9,17.892943
1.1,17.887197
1.3,17.881451
1.5,17.874821
1.7,17.865096
1.9,17.855102
2.1,17.845107
2.3,17.832501
2.5,17.817522
2.7,17.802544
2.9,17.786888
3.1,17.766670
3.3,17.745602
3.5,17.724533
3.7,17.699482
3.9,17.670572
4.1,17.641662
4.3,17.610504
4.5,17.571756
4.7,15.342991
4.85,15.312602
5.05,17.453578
5.25,17.399726
5.45,17.345747
5.65,17.280267
5.85,17.207315
6.05,17.133791
6.25,17.043891
6.45,16.946469
6.65,16.843813
6.85,16.710450
7.05,16.572079
7.25,16.398434
7.45,16.189446
7.65,15.953258
7.85,15.641930
8.05,15.291667
8.25,14.827656
8.45,14.252135
8.65,13.479656
8.85,12.347249
9.05,10.602076
9.25,6.785638
9.4,1.363585
# Total lift force: 1562.20 N
