# Rib forces adjusted by uniform pipe weight
# Actual wing span [m]: -9.4000 to 9.4000
# Uniform load subtracted w [N/m]: 24.545987
# Total before [N]: 1562.200438
# Total after  [N]: 1100.735891
rib_position [m],force_before [N],force_after [N]
-9.4,1.363585,-0.477364
-9.25,6.785638,2.490090
-9.05,10.602076,5.692879
-8.85,12.347249,7.438052
-8.65,13.479656,8.570459
-8.45,14.252135,9.342938
-8.25,14.827656,9.918459
-8.05,15.291667,10.382470
-7.85,15.641930,10.732733
-7.65,15.953258,11.044061
-7.45,16.189446,11.280249
-7.25,16.398434,11.489237
-7.05,16.572079,11.662882
-6.85,16.710450,11.801253
-6.65,16.843813,11.934616
-6.45,16.946469,12.037272
-6.25,17.043891,12.134694
-6.05,17.133791,12.224594
-5.85,17.207315,12.298118
-5.65,17.280267,12.371070
-5.45,17.345747,12.436550
-5.25,17.399726,12.490529
-5.05,17.453578,12.544381
-4.85,15.312602,11.017054
-4.7,15.342991,11.047443
-4.5,17.571756,12.662559
-4.3,17.610504,12.701307
-4.1,17.641662,12.732465
-3.9,17.670572,12.761375
-3.7,17.699482,12.790285
-3.5,17.724533,12.815336
-3.3,17.745602,12.836405
-3.1,17.766670,12.857473
-2.9,17.786888,12.877691
-2.7,17.802544,12.893347
-2.5,17.817522,12.908325
-2.3,17.832501,12.923304
-2.1,17.845107,12.935910
-1.9,17.855102,12.945905
-1.7,17.865096,12.955899
-1.5,17.874821,12.965624
-1.3,17.881451,12.972254
-1.1,17.887197,12.978000
-0.9,17.892943,12.983746
-0.7,17.897767,12.988570
-0.5,31.325907,22.734812
0.0,44.758286,32.485293
0.5,31.325907,22.734812
0.7,17.897767,12.988570
0.9,17.892943,12.983746
1.1,17.887197,12.978000
1.3,17.881451,12.972254
1.5,17.874821,12.965624
1.7,17.865096,12.955899
1.9,17.855102,12.945905
2.1,17.845107,12.935910
2.3,17.832501,12.923304
2.5,17.817522,12.908325
2.7,17.802544,12.893347
2.9,17.786888,12.877691
3.1,17.766670,12.857473
3.3,17.745602,12.836405
3.5,17.724533,12.815336
3.7,17.699482,12.790285
3.9,17.670572,12.761375
4.1,17.641662,12.732465
4.3,17.610504,12.701307
4.5,17.571756,12.662559
4.7,15.342991,11.047443
4.85,15.312602,11.017054
5.05,17.453578,12.544381
5.25,17.399726,12.490529
5.45,17.345747,12.436550
5.65,17.280267,12.371070
5.85,17.207315,12.298118
6.05,17.133791,12.224594
6.25,17.043891,12.134694
6.45,16.946469,12.037272
6.65,16.843813,11.934616
6.85,16.710450,11.801253
7.05,16.572079,11.662882
7.25,16.398434,11.489237
7.45,16.189446,11.280249
7.65,15.953258,11.044061
7.85,15.641930,10.732733
8.05,15.291667,10.382470
8.25,14.827656,9.918459
8.45,14.252135,9.342938
8.65,13.479656,8.570459
8.85,12.347249,7.438052
9.05,10.602076,5.692879
9.25,6.785638,2.490090
9.4,1.363585,-0.477364
