# Lift Force per Rib
# Lift data span [m]: -9.3740 to 9.3740
# Actual wing span [m]: -9.4000 to 9.4000
# Force = integral of lift distribution over rib's domain
# Domain: midpoint to prev rib -> midpoint to next rib
# Endpoints use wing tip instead of midpoint
# Extrapolation: linear taper to 0 beyond lift data range
rib_position [m],force [N]
-9.4,0.825838
-9.25,4.102183
-9.05,6.380523
-8.85,7.428472
-8.65,8.150779
-8.45,8.681044
-8.25,9.122788
-8.05,9.513744
-7.85,9.829224
-7.65,10.118427
-7.45,10.350143
-7.25,10.561051
-7.05,10.741792
-6.85,10.892426
-6.65,11.036655
-6.45,11.141619
-6.25,11.239892
-6.05,11.327301
-5.85,11.391058
-5.65,11.453988
-5.45,11.509425
-5.25,11.553327
-5.05,11.597101
-4.85,10.180426
-4.7,10.204690
-4.5,11.691957
-4.3,11.722857
-4.1,11.747422
-3.9,11.770112
-3.7,11.792802
-3.5,11.812394
-3.3,11.828791
-3.1,11.845187
-2.9,11.860907
-2.7,11.873006
-2.5,11.884567
-2.3,11.896128
-2.1,11.905848
-1.9,11.913543
-1.7,11.921237
-1.5,11.928723
-1.3,11.933806
-1.1,11.938203
-0.9,11.942600
-0.7,11.946295
-0.5,20.909726
0.0,29.876427
0.5,20.909726
0.7,11.946295#
0.9,11.942600
1.1,11.938203
1.3,11.933806
1.5,11.928723
1.7,11.921237
1.9,11.913543
2.1,11.905848
2.3,11.896128
2.5,11.884567
2.7,11.873006
2.9,11.860907
3.1,11.845187\#
3.3,11.828791#
3.5,11.812394
3.7,11.792802
3.9,11.770112
4.1,11.747422
4.3,11.722857
4.5,11.691957\#
4.7,10.204690#
4.85,10.180426\#
5.05,11.597101#
5.25,11.553327
5.45,11.509425
5.65,11.453988
5.85,11.391058
6.05,11.327301
6.25,11.239892\#
6.45,11.141619#
6.65,11.036655
6.85,10.892426
7.05,10.741792
7.25,10.561051
7.45,10.350143\#
7.65,10.118427#
7.85,9.829224
8.05,9.513744\#
8.25,9.122788#
8.45,8.681044\#
8.65,8.150779#\#
8.85,7.428472
9.05,6.380523
9.25,4.102183
9.4,0.825838
# Total lift force: 1024.68 N
