# XFLR5 Polar Lift Calculation Output
# Created: 2025-11-30T18:40:45.166525
# Source file: /Users/motokinakajima/Documents/tori/0-1-3-4-5-6 cls/MainWing_a=14.40_v=8.50ms.txt
# Plane name: None
# Polar name: None
# Freestream speed (header) [m/s]: None
# Freestream speed (used) [m/s]: None
# Wing area [m^2]: 1.0
# Air density [kg/m^3]: 1.225
# Rows: 39
# Python version: 3.13.2
# OS: macOS-15.5-arm64-arm-64bit-Mach-O
# Formula: L [N] = 0.5 * rho [kg/m^3] * V^2 [m^2/s^2] * S [m^2] * CL [-]
# ----------------------------------------------------------------------
alpha_deg [deg],CL [-],V_mps [m/s],Lift_N [N]
-9.374,-16.14,0.0,-0.0
-9.2872,-12.947,0.1103,-0.096477549928375
-9.1432,-11.135,0.9778,-6.5207324362075
-8.9428,-8.745,4.161,-92.73877147631248
-8.6872,-6.868,12.262,-632.4977764826001
-8.3781,-5.447,28.8972,-2785.9607642624946
-8.0174,-4.443,58.5749,-9336.96042301934
-7.6072,-3.649,106.5218,-25360.44964733484
-7.1501,-3.014,178.4552,-58790.581488776355
-6.6489,-2.574,280.3484,-123911.26745750954
-6.1068,-2.241,418.2323,-240094.98571150142
-5.5269,-1.984,597.9649,-434509.3686872185
-4.9131,-1.77,825.0002,-737882.9358862934
-4.2689,-1.6,1104.1642,-1194795.0089504074
-3.5984,-1.473,1439.4707,-1869452.7744628922
-2.9057,-1.381,1833.9704,-2845014.050131071
-2.1951,-1.321,2289.6122,-4241629.89880154
-1.471,-1.28,2807.1275,-6177892.4041849
-0.7378,-1.256,3385.9229,-8819619.759533877
-0.0,-1.248,4024.0152,-12377698.603322847
0.7378,-1.256,3385.9229,-8819619.759533877
1.471,-1.28,2807.1275,-6177892.4041849
2.1951,-1.321,2289.6122,-4241629.89880154
2.9057,-1.381,1833.9704,-2845014.050131071
3.5984,-1.473,1439.4707,-1869452.7744628922
4.2689,-1.6,1104.1642,-1194795.0089504074
4.9131,-1.77,825.0002,-737882.9358862934
5.5269,-1.984,597.9649,-434509.3686872185
6.1068,-2.241,418.2323,-240094.98571150142
6.6489,-2.574,280.3484,-123911.26745750954
7.1501,-3.014,178.4552,-58790.581488776355
7.6072,-3.649,106.5218,-25360.44964733484
8.0174,-4.443,58.5749,-9336.96042301934
8.3781,-5.447,28.8972,-2785.9607642624946
8.6872,-6.868,12.262,-632.4977764826001
8.9428,-8.745,4.161,-92.73877147631248
9.1432,-11.135,0.9778,-6.5207324362075
9.2872,-12.947,0.1103,-0.096477549928375
9.374,-16.14,0.0,-0.0
